#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,,Team,League
,Kusumoto Taishi,1,4,2,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,262,0.000,0.500,25.0%,0.0%,25.0%,1.00,0.2,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Ikeda Ryoma,1,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Watanabe Ryo,5,7,7,1,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0.143,0.143,0.143,0.286,-11,0.000,0.250,42.9%,42.9%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Maki Shugo,2,9,9,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.111,0.111,0.111,0.222,-31,0.000,0.125,11.1%,11.1%,0.0%,0.00,0.2,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kai Ikumi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Tanaka Kosuke,4,6,6,0,2,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0.333,0.333,0.333,0.667,109,0.000,0.667,50.0%,50.0%,0.0%,0.00,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Tajima Daiki,1,3,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.667,0.500,1.167,271,0.000,0.500,33.3%,0.0%,33.3%,1.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Tamura Tatsuhiro,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,23,0.000,0.200,0.0%,0.0%,0.0%,,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Kai Takuya,3,9,7,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0.000,0.222,0.000,0.222,-27,0.000,0.000,55.6%,44.4%,11.1%,0.25,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Yano Masaya,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,0.0%,0.0%,0.0%,,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Ishikawa Ryo,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,0.0%,0.0%,0.0%,,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Ishikawa Shingo,4,12,11,1,3,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0.273,0.333,0.273,0.606,85,0.000,0.300,16.7%,8.3%,8.3%,1.00,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
