Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Ichioka Ryuji,10,1,0,0,1,0,0,41,8.2,15,0,7,1,0,0,0,2,2,2.08,1.83,3.34,1.85,152,52,93,0.25,0.0%,17.1%,2.4%,14.6%,33.3%,42.0%,76.2%,12.9%,28.4%,89.5,Hiroshima Carp,31,R,CL
Kemna Makoto,43,4,0,0,14,0,0,172,39.1,37,1,37,18,1,3,1,21,14,3.20,3.15,3.70,1.40,99,90,103,0.05,0.6%,21.5%,10.5%,11.0%,48.2%,23.6%,81.7%,8.0%,26.4%,92.4,Hiroshima Carp,27,R,CL
Kikuchi Yasunori,8,0,0,0,2,0,0,39,8.0,10,2,6,4,1,1,0,5,5,5.63,6.73,4.29,1.75,56,191,119,-1.10,5.1%,15.4%,10.3%,5.1%,20.0%,10.0%,83.3%,6.8%,22.4%,88.1,Hiroshima Carp,32,R,CL
Kobayashi Tatsuto,1,0,0,0,0,0,0,5,1.0,2,0,0,1,0,0,0,1,1,9.00,6.10,6.80,3.00,35,173,189,2.90,0.0%,0.0%,20.0%,-20.0%,50.0%,0.0%,100.0%,0.0%,14.3%,88.7,Hiroshima Carp,19,R,CL
Kuri Aren,26,6,9,0,0,0,0,609,140.1,147,13,121,53,3,8,1,55,52,3.33,3.89,3.68,1.43,95,110,102,-0.56,2.1%,19.9%,8.7%,11.2%,nan%,nan%,nan%,nan%,nan%,,Hiroshima Carp,30,R,CL
Kuribayashi Ryoji,48,0,2,31,6,0,0,185,48.1,22,0,59,15,2,2,1,8,8,1.49,1.72,2.42,0.77,212,49,67,-0.23,0.0%,31.9%,8.1%,23.8%,50.9%,33.8%,66.9%,17.1%,31.3%,92.6,Hiroshima Carp,25,R,CL
Kurohara Takumi,12,0,0,0,1,0,0,44,9.2,11,0,11,4,0,1,0,7,7,6.52,2.38,3.21,1.55,48,68,89,4.14,0.0%,25.0%,9.1%,15.9%,44.4%,27.7%,68.6%,16.7%,27.3%,92.2,Hiroshima Carp,22,L,CL
Matsumoto Ryuya,50,4,2,0,4,0,0,240,55.2,58,5,54,15,1,3,0,23,22,3.56,3.30,3.17,1.31,89,94,88,0.26,2.1%,22.5%,6.2%,16.2%,39.4%,25.1%,78.7%,9.8%,29.0%,89.8,Hiroshima Carp,22,R,CL
Mori Shohei,8,1,0,0,1,0,0,87,19.0,22,1,10,8,0,1,2,5,4,1.89,4.16,4.57,1.58,167,118,127,-2.27,1.1%,11.5%,9.2%,2.3%,60.3%,20.7%,87.1%,5.2%,22.1%,89.0,Hiroshima Carp,24,L,CL
Morishita Masato,27,10,8,0,0,3,2,764,178.2,195,13,133,44,0,8,3,67,63,3.17,3.43,3.64,1.34,99,98,101,-0.26,1.7%,17.4%,5.8%,11.6%,51.1%,25.1%,77.8%,10.8%,27.1%,92.4,Hiroshima Carp,24,R,CL
Moriura Daisuke,51,3,6,0,24,0,0,201,46.1,47,4,48,16,3,3,1,17,17,3.30,3.38,3.21,1.36,96,96,89,-0.08,2.0%,23.9%,8.0%,15.9%,50.8%,28.6%,70.4%,13.4%,29.9%,90.0,Hiroshima Carp,24,L,CL
Nakazaki Shota,28,2,5,0,7,0,0,108,23.2,27,6,18,10,3,1,0,19,17,6.46,6.27,4.06,1.56,49,178,113,0.19,5.6%,16.7%,9.3%,7.4%,45.2%,20.3%,81.7%,8.0%,25.3%,90.7,Hiroshima Carp,29,R,CL
Nomura Yusuke,9,2,3,0,0,0,0,191,41.1,55,4,18,14,1,0,0,27,24,5.23,4.51,4.59,1.67,60,128,128,0.72,2.1%,9.4%,7.3%,2.1%,52.2%,24.1%,84.4%,6.8%,24.2%,86.2,Hiroshima Carp,33,R,CL
Ohmichi Haruki,3,0,1,0,0,0,0,53,12.0,16,5,8,3,0,1,1,9,9,6.75,8.19,3.86,1.58,47,233,107,-1.44,9.4%,15.1%,5.7%,9.4%,46.3%,20.7%,84.9%,6.2%,24.2%,89.5,Hiroshima Carp,23,R,CL
Ohsera Daichi,23,8,9,0,0,3,2,583,135.1,156,18,97,27,2,2,0,73,71,4.72,4.04,3.60,1.35,67,115,100,0.68,3.1%,16.6%,4.6%,12.0%,40.2%,32.9%,79.1%,10.7%,26.3%,89.8,Hiroshima Carp,31,R,CL
Shimauchi Sotaro,22,0,3,0,7,0,0,91,19.0,21,2,20,11,1,1,2,13,8,3.79,4.26,3.81,1.68,83,121,106,-0.47,2.2%,22.0%,12.1%,9.9%,37.9%,22.4%,70.7%,13.8%,26.9%,92.9,Hiroshima Carp,25,R,CL
Tamamura Shogo,9,2,2,0,0,0,0,188,43.2,46,2,21,13,0,1,0,19,19,3.92,3.70,4.37,1.35,80,105,122,0.22,1.1%,11.2%,6.9%,4.3%,35.3%,22.3%,84.3%,6.8%,26.1%,87.0,Hiroshima Carp,21,L,CL
Tokoda Hiroki,17,8,6,0,0,1,1,446,114.0,87,10,74,28,2,4,2,36,36,2.84,3.79,3.77,1.01,111,108,105,-0.95,2.2%,16.6%,6.3%,10.3%,49.4%,24.6%,80.1%,9.3%,27.3%,90.3,Hiroshima Carp,27,L,CL
Turley Nik,45,2,4,0,14,0,0,155,37.2,26,7,32,16,2,2,2,14,13,3.11,5.25,3.77,1.12,101,149,105,-2.14,4.5%,20.6%,10.3%,10.3%,56.1%,23.7%,79.1%,9.3%,26.9%,94.7,Hiroshima Carp,32,L,CL
