Rank,Pitcher,Age,T,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
,<a href=https://npb.jp/bis/eng/players/81985155.html>Shibata Daichi</a>,26.0,R,40,2,1,0,0,0,151,37.1,21,1,31,22,1,0,5,9,9,2.17,3.92,4.20,1.15,155,98,107,-1.75,0.7%,20.5%,14.6%,5.9%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/51955138.html>Shimizu Noboru</a>,27.0,R,18,3,1,1,0,0,200,46.0,54,2,37,9,0,2,3,27,23,4.50,3.13,3.40,1.37,75,78,86,1.37,1.0%,18.5%,4.5%,14.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/31235153.html>Shimo Shinnosuke</a>,22.0,L,23,2,0,0,0,0,133,28.0,21,0,25,28,0,6,5,18,17,5.46,5.32,5.03,1.75,62,133,128,0.14,0.0%,18.8%,21.1%,-2.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/41945139.html>Taguchi Kazuto</a>,28.0,L,10,1,1,3,0,0,42,10.0,10,0,10,1,0,0,0,2,2,1.80,1.76,2.66,1.10,187,44,68,0.04,0.0%,23.8%,2.4%,21.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/51055132.html>Takahashi Keiji</a>,27.0,L,3,1,1,0,0,0,57,15.2,9,1,11,2,0,1,0,3,3,1.72,3.46,3.22,0.70,196,87,82,-1.74,1.8%,19.3%,3.5%,15.8%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/53255159.html>Takahashi Shosei</a>,18.0,R,2,0,0,0,0,0,10,2.0,3,0,4,1,0,0,0,2,2,9.00,0.96,1.80,2.00,37,24,46,8.04,0.0%,40.0%,10.0%,30.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/21925139.html>Takanashi Hirotoshi</a>,33.0,R,13,3,6,0,0,0,247,57.0,60,6,50,16,0,2,2,25,21,3.32,4.02,3.42,1.33,101,101,87,-0.70,2.4%,20.2%,6.5%,13.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/91295155.html>Takeyama Hyuga</a>,20.0,R,15,3,4,0,0,0,181,35.2,55,2,12,18,0,5,2,37,33,8.33,5.45,5.13,2.05,40,137,130,2.88,1.1%,6.6%,9.9%,-3.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/93195136.html>Yamamoto Daiki</a>,28.0,L,6,0,0,0,0,0,33,8.0,6,0,5,3,0,2,0,0,0,0.00,4.08,4.19,1.12,999,102,106,-4.08,0.0%,15.2%,9.1%,6.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/63365153.html>Yamano Taichi</a>,25.0,L,11,3,1,0,0,0,176,44.1,35,2,29,9,0,2,1,9,6,1.22,3.48,3.66,0.99,276,87,93,-2.26,1.1%,16.5%,5.1%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/33535155.html>Yamashita Hikaru</a>,24.0,L,19,3,5,1,0,0,238,55.0,62,7,23,18,0,2,4,37,36,5.89,5.37,4.59,1.45,57,135,116,0.52,2.9%,9.7%,7.6%,2.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/13715155.html>Alvarez Frank</a>,25.0,R,16,0,1,1,0,0,100,20.1,25,1,17,12,0,3,4,18,15,6.64,4.64,4.30,1.82,50,118,109,2.00,1.0%,17.0%,12.0%,5.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/83285157.html>Feliz Michael</a>,31.0,R,24,2,0,5,0,0,89,23.1,14,0,24,5,0,0,9,5,2,0.77,2.05,2.67,0.81,430,52,68,-1.28,0.0%,27.0%,5.6%,21.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/21625134.html>Fujishima Kento</a>,26.0,R,3,0,0,0,0,0,13,3.0,3,2,3,1,0,0,0,2,2,6.00,11.13,3.26,1.33,55,283,83,-5.13,15.4%,23.1%,7.7%,15.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/41645132.html>Fuku Hiroto</a>,32.0,L,26,2,0,0,0,0,95,20.2,22,1,19,7,0,1,0,9,8,3.48,3.41,3.54,1.40,95,87,90,0.07,1.1%,20.0%,7.4%,12.6%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/31835159.html>Fukuda Konosuke</a>,18.0,L,10,2,3,0,0,0,165,37.1,27,0,29,25,0,2,2,16,13,3.13,4.08,4.56,1.39,106,104,116,-0.95,0.0%,17.6%,15.2%,2.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/51855153.html>Fukushima Shota</a>,21.0,L,23,0,1,1,0,0,118,22.2,24,1,21,24,1,5,2,21,14,5.56,6.02,5.05,2.12,60,153,128,-0.46,0.8%,17.8%,20.3%,-2.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/21025137.html>Fukutani Koji</a>,33.0,R,15,4,2,0,1,1,265,66.1,62,3,57,13,0,1,3,18,18,2.44,2.96,3.14,1.13,136,75,80,-0.52,1.1%,21.5%,4.9%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/51655159.html>Habu Shohta</a>,23.0,R,16,0,2,0,0,0,78,16.1,25,2,13,5,1,2,3,12,11,6.06,4.75,3.77,1.84,55,121,96,1.31,2.6%,16.7%,6.4%,10.3%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/21425151.html>Hashimoto Yuki</a>,26.0,L,6,0,0,3,0,0,20,5.1,3,0,3,2,0,0,0,1,0,0.00,3.46,4.30,0.94,999,88,109,-3.46,0.0%,15.0%,10.0%,5.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/21125136.html>Ishikawa Sho</a>,24.0,R,17,2,1,0,0,0,61,15.0,8,1,13,11,0,1,2,7,5,3.00,4.99,4.47,1.27,110,127,113,-1.99,1.6%,21.3%,18.0%,3.3%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/11315155.html>Ishimori Taisei</a>,26.0,L,26,1,0,0,0,0,168,39.0,36,3,41,25,0,0,2,18,18,4.15,4.28,3.85,1.56,80,109,98,-0.13,1.8%,24.4%,14.9%,9.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/31335116.html>Iwasaki Sho</a>,34.0,R,24,1,1,8,0,0,90,21.2,18,0,18,8,0,0,4,5,3,1.25,2.91,3.69,1.20,265,74,94,-1.66,0.0%,20.0%,8.9%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/91595138.html>Kakigoshi Kenshin</a>,24.0,L,5,1,0,0,0,0,19,3.1,7,0,2,3,0,0,0,4,3,8.10,4.96,5.33,3.00,41,126,135,3.14,0.0%,10.5%,15.8%,-5.3%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/01505159.html>Kato Ryuma</a>,25.0,R,9,0,0,0,0,0,48,8.1,10,0,9,10,0,2,0,9,6,6.48,5.62,5.01,2.40,51,143,127,0.86,0.0%,18.8%,20.8%,-2.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/01705153.html>Kato Tsubasa</a>,21.0,R,5,0,0,0,0,0,20,4.2,6,0,2,2,0,0,1,4,4,7.71,3.89,4.80,1.71,43,99,122,3.82,0.0%,10.0%,10.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/21525138.html>Katsuno Akiyoshi</a>,27.0,R,10,0,0,1,0,0,32,8.2,5,0,10,2,0,0,2,0,0,0.00,1.84,2.30,0.81,999,47,58,-1.84,0.0%,31.2%,6.2%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/31735159.html>Kikuta Towa</a>,20.0,R,6,0,1,0,0,0,29,6.1,6,0,3,5,0,0,4,4,2,2.84,4.88,5.49,1.74,117,124,139,-2.04,0.0%,10.3%,17.2%,-6.9%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/11015153.html>Kondo Ren</a>,25.0,L,46,3,1,0,0,0,173,43.0,29,2,36,17,0,2,8,12,10,2.09,3.72,3.70,1.07,159,95,94,-1.63,1.2%,20.8%,9.8%,11.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/21225137.html>Matsuba Takahiro</a>,33.0,L,6,4,1,0,0,0,132,34.2,24,1,14,9,0,2,1,7,7,1.82,3.98,4.42,0.95,182,101,112,-2.16,0.8%,10.6%,6.8%,3.8%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/73175153.html>Matsukihira Yuta</a>,21.0,R,16,10,3,0,3,2,422,107.2,90,2,71,24,0,0,6,22,21,1.76,3.05,3.69,1.06,188,78,94,-1.29,0.5%,16.8%,5.7%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/93295157.html>Mejia Humberto</a>,27.0,R,4,1,1,0,0,0,88,23.0,21,0,13,2,0,2,0,2,2,0.78,2.85,3.55,1.00,425,73,90,-2.07,0.0%,14.8%,2.3%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/53355153.html>Mori Hiroto</a>,26.0,R,24,2,4,0,0,0,101,25.0,15,0,14,12,0,1,0,8,6,2.16,3.90,4.60,1.08,153,99,117,-1.74,0.0%,13.9%,11.9%,2.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/33335157.html>Moriyama Akio</a>,19.0,L,5,0,1,0,0,0,46,9.0,14,2,5,4,0,1,2,9,8,8.00,6.90,4.58,2.00,41,176,116,1.10,4.3%,10.9%,8.7%,2.2%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/41245157.html>Nakachi Reia</a>,23.0,R,9,3,2,0,0,0,203,49.0,49,0,50,12,0,0,5,20,17,3.12,2.15,2.93,1.24,106,55,74,0.97,0.0%,24.6%,5.9%,18.7%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/81285138.html>Neo Akira</a>,24.0,R,16,4,5,0,0,0,344,82.0,74,2,75,35,0,4,7,28,24,2.63,3.37,3.64,1.33,126,86,92,-0.74,0.6%,21.8%,10.2%,11.6%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/41445157.html>Nonaka Tento</a>,19.0,L,8,0,3,0,0,0,101,21.2,26,2,16,13,0,0,0,16,16,6.65,4.98,4.50,1.80,50,127,114,1.67,2.0%,15.8%,12.9%,2.9%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/11515133.html>Ohno Yudai</a>,35.0,L,11,4,2,0,0,0,231,58.2,45,3,27,13,0,1,0,22,20,3.07,3.92,4.19,0.99,108,100,106,-0.85,1.3%,11.7%,5.6%,6.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/11515131.html>Okada Toshiya</a>,32.0,L,14,3,1,1,0,0,181,48.1,34,1,31,3,0,1,3,9,6,1.12,2.69,3.25,0.77,296,68,82,-1.57,0.6%,17.1%,1.7%,15.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/11915130.html>Saitoh Kohki</a>,27.0,L,3,0,0,0,0,0,10,2.2,3,0,4,0,0,0,0,1,1,3.38,0.46,0.80,1.13,98,12,20,2.92,0.0%,40.0%,0.0%,40.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/91995139.html>Sobue Daisuke</a>,36.0,R,15,1,0,8,0,0,53,14.0,9,0,16,3,0,0,0,2,2,1.29,1.82,2.35,0.86,257,46,60,-0.53,0.0%,30.2%,5.7%,24.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/11915139.html>Sunada Yoshiki</a>,28.0,L,32,1,0,0,0,0,128,29.0,29,1,16,7,0,1,0,10,8,2.48,3.63,4.10,1.24,134,92,104,-1.15,0.8%,12.5%,5.5%,7.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/21025135.html>Tajima Shinji</a>,34.0,R,31,3,1,2,0,0,122,28.2,22,1,20,11,2,1,2,10,6,1.88,3.77,4.06,1.15,176,96,103,-1.89,0.8%,16.4%,9.0%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/61265153.html>Takahashi Hiroto</a>,21.0,R,4,3,1,0,1,1,112,29.0,18,0,22,8,0,1,0,8,3,0.93,2.87,3.55,0.90,356,73,90,-1.94,0.0%,19.6%,7.1%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/51255151.html>Takeuchi Ryushin</a>,22.0,R,1,0,0,0,0,0,15,3.0,5,1,2,0,0,0,0,3,3,9.00,6.46,3.47,1.67,37,164,88,2.54,6.7%,13.3%,0.0%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/11515153.html>Ueda Kotaro</a>,21.0,L,9,2,4,0,0,0,175,39.1,43,1,25,18,0,2,0,26,21,4.81,4.04,4.40,1.55,69,103,112,0.77,0.6%,14.3%,10.3%,4.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/51355134.html>Umeno Yugo</a>,25.0,R,26,2,2,5,0,0,99,25.0,21,0,20,6,0,0,0,6,6,2.16,2.58,3.39,1.08,153,66,86,-0.42,0.0%,20.2%,6.1%,14.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/81185138.html>Umetsu Kodai</a>,27.0,R,4,2,1,0,0,0,108,27.0,27,0,20,2,0,1,2,6,6,2.00,2.31,3.13,1.07,166,59,79,-0.31,0.0%,18.5%,1.9%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/31635110.html>Wakui Hideaki</a>,38.0,R,3,1,0,0,0,0,49,13.0,11,0,8,3,0,0,1,2,2,1.38,2.92,3.78,1.08,240,74,96,-1.54,0.0%,16.3%,6.1%,10.2%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/63165134.html>Yanagi Yuya</a>,30.0,R,8,7,1,0,1,1,212,51.0,55,1,24,11,0,0,3,19,19,3.35,3.42,4.19,1.29,99,87,106,-0.07,0.5%,11.3%,5.2%,6.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,<a href=https://npb.jp/bis/eng/players/01105153.html>Abe Shota</a>,31.0,R,26,1,1,5,0,0,99,24.2,22,2,12,6,1,0,4,8,8,2.92,4.27,4.19,1.14,106,116,106,-1.35,2.0%,12.1%,6.1%,6.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/71175159.html>Ashida Taketo</a>,24.0,R,18,1,2,0,0,0,276,64.0,75,1,44,18,0,5,2,29,26,3.66,3.37,3.86,1.45,85,92,98,0.29,0.4%,15.9%,6.5%,9.4%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/71175136.html>Azuma Kohei</a>,24.0,R,3,1,0,0,0,0,55,13.2,11,0,9,4,0,2,0,4,4,2.63,3.46,3.89,1.10,118,94,99,-0.83,0.0%,16.4%,7.3%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/73775157.html>Castillo Luis</a>,29.0,R,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.46,4.80,0.00,999,94,122,-3.46,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/43545159.html>Espinoza Anderson</a>,26.0,R,1,1,0,0,0,0,26,6.0,4,0,4,4,0,0,0,1,1,1.50,4.13,4.80,1.33,207,112,122,-2.63,0.0%,15.4%,15.4%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/61765159.html>Gonda Ryusei</a>,24.0,R,31,2,2,0,0,0,239,56.0,60,3,32,17,0,1,1,22,20,3.21,3.98,4.17,1.38,97,108,106,-0.77,1.3%,13.4%,7.1%,6.3%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/81085131.html>Higa Motoki</a>,41.0,R,12,1,0,0,0,0,44,11.1,10,0,10,1,0,0,0,2,2,1.59,1.96,2.75,0.97,195,53,70,-0.37,0.0%,22.7%,2.3%,20.4%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/81285112.html>Hirano Yoshihisa</a>,40.0,R,7,0,0,0,0,0,31,7.0,6,0,3,4,0,0,1,1,1,1.29,4.32,5.12,1.43,240,118,130,-3.03,0.0%,9.7%,12.9%,-3.2%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/61665136.html>Honda Hitomi</a>,24.0,R,23,1,1,0,0,0,94,22.1,21,0,15,10,0,0,0,6,6,2.42,3.46,4.27,1.39,128,94,108,-1.04,0.0%,16.0%,10.6%,5.4%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/31335132.html>Iguchi Kazutomo</a>,30.0,R,8,0,0,0,0,0,31,7.2,7,0,7,1,0,1,0,1,1,1.17,2.42,2.86,1.04,265,66,73,-1.25,0.0%,22.6%,3.2%,19.4%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/31335157.html>Iriyama Kaito</a>,24.0,R,39,3,2,8,0,0,179,39.2,37,0,35,25,0,0,7,17,14,3.18,3.59,4.24,1.56,97,98,108,-0.41,0.0%,19.6%,14.0%,5.6%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/81585159.html>Kawachi Kosuke</a>,19.0,R,9,0,1,0,0,0,71,18.0,15,1,9,8,0,1,0,3,3,1.50,4.68,4.66,1.28,207,127,118,-3.18,1.4%,12.7%,11.3%,1.4%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/41745153.html>Kawase Kento</a>,22.0,R,17,1,2,0,0,0,236,55.1,55,3,32,16,0,3,3,29,27,4.39,4.04,4.12,1.28,71,110,105,0.35,1.3%,13.6%,6.8%,6.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/11915155.html>Kogita Atsuya</a>,25.0,R,3,1,0,0,0,0,11,3.0,2,0,4,0,0,0,0,0,0,0.00,0.79,1.16,0.67,999,21,29,-0.79,0.0%,36.4%,0.0%,36.4%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/41745159.html>Kotajima Seiryu</a>,25.0,R,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.46,4.80,0.00,999,94,122,-3.46,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/41645151.html>Mae Yuito</a>,22.0,R,36,4,2,0,0,0,149,36.1,31,2,30,13,0,1,0,9,8,1.98,3.68,3.66,1.21,157,100,93,-1.70,1.3%,20.1%,8.7%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/71875151.html>Miyagi Hiroya</a>,22.0,L,2,1,0,0,0,0,26,8.0,4,0,8,0,0,0,0,0,0,0.00,1.46,1.72,0.50,999,40,44,-1.46,0.0%,30.8%,0.0%,30.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/63165159.html>Miyaguni Riku</a>,18.0,R,6,0,1,0,0,0,55,10.2,11,0,6,14,0,0,0,10,9,7.59,6.27,6.25,2.34,41,171,159,1.32,0.0%,10.9%,25.5%,-14.6%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/33335155.html>Mukunoki Ren</a>,24.0,R,21,3,2,1,0,0,212,57.0,37,0,45,12,0,1,1,12,10,1.58,2.57,3.24,0.86,196,70,82,-0.99,0.0%,21.2%,5.7%,15.5%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/41845151.html>Muranishi Ryota</a>,27.0,R,19,5,5,0,0,0,361,79.0,84,1,41,40,0,9,1,40,32,3.65,4.45,4.77,1.57,85,121,121,-0.80,0.3%,11.4%,11.1%,0.3%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/71475151.html>Nakata Yuito</a>,22.0,R,34,3,3,0,0,0,187,41.2,51,4,29,16,1,0,2,26,25,5.40,4.47,4.10,1.61,57,122,104,0.93,2.1%,15.5%,8.6%,6.9%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/61365159.html>Ohe Kaito</a>,24.0,L,19,2,0,0,0,0,103,20.2,31,0,21,11,0,0,2,19,14,6.10,3.02,3.83,2.03,51,82,97,3.08,0.0%,20.4%,10.7%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/81385134.html>Ono Taiki</a>,30.0,R,27,1,1,4,0,0,112,26.0,10,0,29,24,0,3,3,6,6,2.08,4.34,4.35,1.31,149,118,110,-2.26,0.0%,25.9%,21.4%,4.5%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/13215157.html>Perdomo Luis</a>,31.0,R,1,0,0,0,0,0,3,1.0,1,0,0,0,0,0,0,0,0,0.00,3.46,4.80,1.00,999,94,122,-3.46,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/21725157.html>Saiki Kaito</a>,24.0,R,13,2,3,1,0,0,175,37.1,48,1,31,17,0,2,1,25,19,4.58,3.67,4.00,1.74,68,100,102,0.91,0.6%,17.7%,9.7%,8.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/41745157.html>Saito Kyosuke</a>,19.0,R,13,4,2,0,0,0,249,58.2,50,2,51,27,0,2,9,20,20,3.07,3.65,3.84,1.31,101,99,97,-0.58,0.8%,20.5%,10.8%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/51055151.html>Satoh Kazuma</a>,23.0,L,17,4,7,0,0,0,358,89.0,70,4,72,30,0,1,5,25,19,1.92,3.47,3.63,1.12,161,94,92,-1.55,1.1%,20.1%,8.4%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/81985157.html>Sotani Ryuhei</a>,23.0,L,3,1,0,0,0,0,30,8.2,4,0,10,0,0,0,0,0,0,0.00,1.15,1.47,0.46,999,31,37,-1.15,0.0%,33.3%,0.0%,33.3%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/31035159.html>Suga Hiroto</a>,19.0,L,4,0,0,0,0,0,20,3.1,4,0,2,6,0,0,1,3,3,8.10,7.66,6.80,3.00,38,208,173,0.44,0.0%,10.0%,30.0%,-20.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/61965136.html>Suzuki Hiroshi</a>,27.0,R,8,2,2,0,0,0,119,30.0,29,1,15,8,0,1,1,11,9,2.70,3.79,4.21,1.23,115,103,107,-1.09,0.8%,12.6%,6.7%,5.9%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/41045136.html>Tajima Daiki</a>,27.0,L,1,0,0,0,0,0,13,3.0,4,1,4,1,0,0,0,3,3,9.00,6.13,2.49,1.67,34,167,63,2.87,7.7%,30.8%,7.7%,23.1%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/61065159.html>Takashima Taito</a>,24.0,R,8,3,1,0,0,0,156,38.2,33,2,24,6,0,2,1,7,6,1.40,3.51,3.65,1.01,221,96,93,-2.11,1.3%,15.4%,3.8%,11.6%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,<a href=https://npb.jp/bis/eng/players/61065138.html>Tomiyama Ryoga</a>,27.0,L,11,2,1,0,0,0,62,16.0,14,1,14,3,0,0,0,2,2,1.13,3.08,3.03,1.06,274,84,77,-1.95,1.6%,22.6%,4.8%,17.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
