Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Masuda Daiki,31,5,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Yomiuri Giants,EL
Masuda Daiki,31,6,5.0,-0.2,-51.5,-0.4,,0.1,0.1,0.0,,,Yomiuri Giants,EL
Urata Shunsuke,22,4,133.0,0.9,8.7,1.1,,0.2,-0.4,0.4,,,Yomiuri Giants,EL
Urata Shunsuke,22,5,81.0,0.3,4.8,1.8,,-0.2,-1.3,-0.3,,,Yomiuri Giants,EL
Urata Shunsuke,22,6,333.0,2.9,11.2,1.1,,0.9,0.8,2.7,,,Yomiuri Giants,EL
Nakashima Takuya,34,3,52.0,-0.1,-2.5,-0.4,,-0.1,0.4,-0.6,,,Nipponham Fighters,EL
Nakashima Takuya,34,4,16.0,-0.2,-16.1,-0.3,,0.0,0.1,0.0,,,Nipponham Fighters,EL
Nakashima Takuya,34,5,13.0,0.4,39.6,0.1,,0.1,0.1,0.0,,,Nipponham Fighters,EL
Nakashima Takuya,34,6,28.0,0.7,32.2,0.7,,0.2,-0.2,0.2,,,Nipponham Fighters,EL
Nakashima Takuya,34,8,4.1,-0.9,-269.4,-0.6,-0.3,,0.0,0.0,,,Nipponham Fighters,EL
Sasagawa Yoshiyasu,23,7,182.2,0.1,0.7,-1.2,2.0,,-0.7,-1.7,,,SoftBank Hawks,WL
Sasagawa Yoshiyasu,23,8,227.0,1.0,5.7,-1.9,2.7,,0.1,0.8,,,SoftBank Hawks,WL
Sasagawa Yoshiyasu,23,9,205.0,2.7,17.0,2.4,0.1,,0.2,-0.8,,,SoftBank Hawks,WL
Sasagawa Yoshiyasu,23,DH,143.0,,,,,,,-1.7,,,SoftBank Hawks,WL
Taka Yoshihiro,21,4,80.2,0.0,0.0,0.2,,-0.1,0.0,0.2,,,Oisix Albirex,EL
Taka Yoshihiro,21,9,9.0,-0.4,-57.2,-0.5,0.1,,0.0,0.0,,,Oisix Albirex,EL
