#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Kamichatani Taiga,25,7,6,0,0,1,1,584,134.0,136,14,102,51,6,3,3,68,59,3.96,4.41,3.93,1.40,101,100,106,-0.45,2.4%,17.5%,8.7%,8.7%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,22,R,CL
,Kasai Takamasa,16,0,0,0,0,0,0,101,22.1,23,3,18,14,3,0,3,10,10,4.03,5.38,4.40,1.66,99,121,119,-1.35,3.0%,17.8%,13.9%,4.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,24,R,CL
,Kuniyoshi Yuki,53,5,3,0,9,0,0,299,69.1,62,9,81,28,2,2,3,37,37,4.80,4.02,3.03,1.30,83,91,82,0.78,3.0%,27.1%,9.4%,17.7%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,R,CL
,Kyoyama Masaya,9,0,6,0,0,0,0,173,35.2,45,3,29,27,0,0,2,26,23,5.80,5.11,4.68,2.02,69,115,127,0.69,1.7%,16.8%,15.6%,1.2%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,20,R,CL
,Mikami Tomoya,6,0,1,0,1,0,0,25,4.2,5,0,5,6,0,0,1,4,3,5.79,5.08,5.20,2.36,69,115,141,0.71,0.0%,20.0%,24.0%,-4.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,30,R,CL
,Mishima Kazuki,71,5,4,0,23,0,0,309,72.2,67,10,62,31,4,0,2,36,35,4.33,4.73,3.80,1.35,92,107,103,-0.40,3.2%,20.1%,10.0%,10.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,29,R,CL
,Muto Yuta,31,1,2,0,3,0,0,159,38.0,31,4,28,18,6,1,1,17,14,3.32,4.76,4.17,1.29,120,107,113,-1.44,2.5%,17.6%,11.3%,6.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,30,R,CL
,Nakagawa Koo,3,0,1,0,0,0,0,25,5.0,7,2,3,3,0,0,0,3,3,5.40,9.17,4.80,2.00,74,207,130,-3.77,8.0%,12.0%,12.0%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,19,R,CL
,Nakaushiro Yuhei,4,0,0,0,0,0,0,12,2.2,3,0,1,2,0,0,0,1,1,3.38,4.87,5.63,1.88,118,110,153,-1.49,0.0%,8.3%,16.7%,-8.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,29,L,CL
,Onuki Shinichi,15,6,5,0,0,0,0,302,66.2,81,7,54,25,3,2,1,38,37,5.00,4.33,3.84,1.59,80,98,104,0.67,2.3%,17.9%,8.3%,9.6%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,,,CL
