Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Miyadai Kohei,29,2,1,0,0,0,.667,165,37,,37,1,18,0,5,40,4,0,12,11,2.68,Yakult Swallows,
Ohnishi Hiroki,4,0,0,1,0,0,.000,18,4,,5,0,0,0,0,1,0,0,2,1,2.25,Yakult Swallows,
Ohshita Yuma,12,1,0,1,0,0,1.000,52,14,,9,0,3,0,1,14,0,0,1,1,0.64,Yakult Swallows,
Sakamoto Koshiro,20,0,0,6,0,0,.000,74,18,.2,10,0,7,0,2,22,2,0,1,1,0.48,Yakult Swallows,
Shibata Daichi,29,0,0,1,0,0,.000,133,30,.2,21,5,20,0,2,24,3,0,18,16,4.70,Yakult Swallows,
Shimizu Noboru,4,0,0,0,0,0,.000,18,4,,4,0,2,0,0,3,0,0,1,1,2.25,Yakult Swallows,
Shimo Shinnosuke,16,4,4,0,0,0,.500,295,68,.1,61,2,39,0,4,55,3,0,32,26,3.42,Yakult Swallows,
Sneed Cy,1,0,0,0,0,0,.000,19,5,,4,1,0,0,0,4,0,0,1,1,1.80,Yakult Swallows,
Suarez Andrew,15,3,3,0,0,0,.500,221,55,.1,47,6,14,0,0,53,1,0,22,20,3.25,Yakult Swallows,
Sugiyama Koki,41,5,3,0,0,0,.625,251,54,.1,55,3,24,0,7,40,8,0,30,22,3.64,Yakult Swallows,
Suzuki Yuta,34,4,2,0,0,0,.667,173,41,,32,4,25,1,3,15,2,0,20,18,3.95,Yakult Swallows,
Taguchi Kazuto,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,2,0,0,0,0,0.00,Yakult Swallows,
Takahashi Keiji,1,0,0,0,0,0,.000,13,3,,4,0,0,0,0,4,0,0,3,3,9.00,Yakult Swallows,
Takanashi Hirotoshi,2,0,0,0,0,0,.000,23,6,,4,0,2,0,0,3,1,0,0,0,0.00,Yakult Swallows,
Takeyama Hyuga,5,0,0,0,0,0,.000,50,10,,9,1,9,0,3,5,3,0,6,6,5.40,Yakult Swallows,
Terashima Naruki,30,1,7,0,0,0,.125,303,65,.1,78,8,40,1,2,43,5,0,53,47,6.47,Yakult Swallows,
Umeno Yugo,8,0,0,2,0,0,.000,49,11,,10,2,6,0,0,11,0,0,10,10,8.18,Yakult Swallows,
Yamamoto Daiki,9,1,3,1,0,0,.250,68,14,.1,15,1,6,1,2,13,2,0,12,7,4.40,Yakult Swallows,
Yamano Taichi,6,1,1,0,0,0,.500,30,6,.1,5,1,8,0,0,7,1,0,5,5,7.11,Yakult Swallows,
Yamashita Hikaru,6,3,0,0,0,0,1.000,94,22,.2,19,0,8,1,1,11,1,0,8,4,1.59,Yakult Swallows,
Yoshida Daiki,15,5,2,0,1,0,.714,302,74,.1,66,2,21,0,3,50,1,0,24,20,2.42,Yakult Swallows,
Alvarez Frank,7,0,0,0,0,0,.000,34,8,,7,0,2,0,1,8,0,0,3,3,3.38,Chunichi Dragons,
Fuku Hiroto,15,0,1,0,0,0,.000,63,16,.1,13,1,2,0,2,21,0,0,4,4,2.20,Chunichi Dragons,
Fukushima Shota,18,6,6,0,0,0,.500,396,87,.1,89,5,56,0,2,67,3,0,55,52,5.36,Chunichi Dragons,
Fukutani Koji,15,1,6,0,0,0,.143,304,69,,80,4,19,0,4,35,3,1,38,28,3.65,Chunichi Dragons,
Hashimoto Yuki,23,1,4,0,1,0,.200,289,65,.1,59,2,37,1,5,52,4,0,34,33,4.55,Chunichi Dragons,
Ishida KentoMarc,48,2,3,13,0,0,.400,239,52,.2,54,5,22,1,3,59,3,0,23,19,3.25,Chunichi Dragons,
Ishikawa Sho,14,0,1,0,0,0,.000,80,12,.1,21,1,21,0,1,13,2,0,20,18,13.14,Chunichi Dragons,
Ishimori Taisei,17,0,1,0,0,0,.000,99,21,.1,21,2,20,1,0,14,4,0,15,15,6.33,Chunichi Dragons,
Kasahara Shotaro,9,1,4,0,0,0,.200,179,41,,44,7,14,0,3,32,2,0,23,21,4.61,Chunichi Dragons,
Kato Tsubasa,12,1,0,0,0,0,1.000,49,8,.2,7,0,16,0,0,7,1,0,8,8,8.31,Chunichi Dragons,
Katsuno Akiyoshi,2,0,0,0,0,0,.000,44,10,.2,9,1,1,0,1,12,0,0,3,3,2.53,Chunichi Dragons,
Kondo Ren,3,0,0,0,0,0,.000,17,2,.1,6,1,5,0,0,1,1,0,7,6,23.14,Chunichi Dragons,
Matsuba Takahiro,2,0,0,0,0,0,.000,40,8,,14,1,3,0,0,6,0,0,8,7,7.88,Chunichi Dragons,
Matsuda Hiroaki,26,0,3,0,0,0,.000,234,48,,52,4,40,0,5,28,4,1,42,38,7.13,Chunichi Dragons,
Matsukihira Yuta,12,1,5,0,0,0,.167,213,46,,39,3,35,0,4,20,5,1,29,25,4.89,Chunichi Dragons,
Mori Hiroto,18,1,0,1,0,0,1.000,85,20,,14,1,10,0,1,24,0,0,8,8,3.60,Chunichi Dragons,
Neo Akira,1,0,0,0,0,0,.000,5,0,.2,3,0,0,0,0,1,0,0,1,1,13.50,Chunichi Dragons,
Ogasawara Shinnosuke,1,0,0,0,0,0,.000,7,2,,0,0,1,0,0,2,0,0,0,0,0.00,Chunichi Dragons,
Ohmine Yuta,11,1,2,1,0,0,.333,98,21,,27,0,6,0,0,13,1,0,12,9,3.86,Chunichi Dragons,
