#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/63365150.html>Wakamatsu Naoki</a>,5,1,0,0,0,0,19,5.0,1,0,3,2,0,0,0,0,0,0.00,3.62,4.27,0.60,999,92,113,-3.62,0.0%,15.8%,10.5%,5.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,26,R,C
,<a href=https://npb.jp/bis/eng/players/51155155.html>Akahoshi Yuji</a>,1,0,0,1,0,0,19,4.0,3,1,5,2,0,1,0,4,3,6.75,6.62,3.22,1.25,44,174,85,0.13,5.3%,26.3%,10.5%,15.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,26,R,C
,<a href=https://npb.jp/bis/eng/players/21425138.html>Bandoh Yugo</a>,1,0,0,0,0,0,4,1.0,1,1,0,0,0,0,0,1,1,9.00,16.62,4.80,1.00,33,437,127,-7.62,25.0%,0.0%,0.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,30,R,C
,<a href=https://npb.jp/bis/eng/players/21825153.html>Heinai Ryuta</a>,3,0,0,0,0,0,13,3.0,2,0,2,2,0,0,0,0,0,0.00,4.29,4.80,1.33,999,113,127,-4.29,0.0%,15.4%,15.4%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,27,R,C
,<a href=https://npb.jp/bis/eng/players/21825150.html>Horie Shotaro</a>,1,0,0,0,0,0,4,1.0,0,0,1,1,0,0,0,0,0,0.00,4.62,4.80,1.00,999,122,127,-4.62,0.0%,25.0%,25.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,19,R,C
,<a href=https://npb.jp/bis/eng/players/21625151.html>Hotta Kenshin</a>,3,0,0,0,0,0,16,4.0,1,0,5,4,0,0,0,0,0,0.00,4.12,4.17,1.25,999,108,111,-4.12,0.0%,31.2%,25.0%,6.2%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,R,C
,<a href=https://npb.jp/bis/eng/players/51355151.html>Inoue Haruto</a>,3,2,0,0,0,0,68,17.0,14,1,26,4,0,0,0,2,1,0.53,2.03,1.56,1.06,557,53,42,-1.50,1.5%,38.2%,5.9%,32.4%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,L,C
,<a href=https://npb.jp/bis/eng/players/21725152.html>Kohno Yusaku</a>,4,0,0,0,0,0,15,5.0,4,0,1,1,0,0,0,1,1,1.80,3.82,4.80,1.00,164,101,127,-2.02,0.0%,6.7%,6.7%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,22,L,C
,<a href=https://npb.jp/bis/eng/players/33135159.html>Mataki Teppei</a>,2,2,0,0,0,0,45,12.0,10,1,10,2,0,0,1,3,3,2.25,3.54,3.02,1.00,131,93,80,-1.29,2.2%,22.2%,4.4%,17.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,27,L,C
,<a href=https://npb.jp/bis/eng/players/33135155.html>Matsuura Keito</a>,4,0,1,0,0,0,22,5.0,7,0,6,1,0,0,0,3,3,5.40,1.82,2.53,1.60,55,48,67,3.58,0.0%,27.3%,4.5%,22.7%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,22,L,C
