Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Ishikawa Tatsuya,28,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Itoh Hikaru,61,176,160,11,36,8,0,1,47,8,0,0,4,1,41,9,1,2,2,0.225,0.273,0.294,0.567,70,0.069,0.294,29.0%,23.3%,5.1%,0.22,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kajiwara Kouki,21,54,53,1,12,2,1,0,16,2,1,1,0,0,18,1,0,0,1,0.226,0.241,0.302,0.543,62,0.076,0.343,35.2%,33.3%,1.9%,0.06,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kamichatani Taiga,46,6,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kamizato Kazuki,64,53,49,11,8,1,1,0,11,3,0,1,0,0,16,3,0,1,0,0.163,0.226,0.224,0.450,35,0.061,0.242,35.8%,30.2%,5.7%,0.19,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kasahara Shotaro,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kusumoto Taishi,94,176,157,14,30,9,0,2,45,21,0,0,2,3,35,11,0,3,2,0.191,0.253,0.287,0.540,61,0.096,0.228,27.3%,19.9%,6.2%,0.31,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kuwahara Masayuki,132,479,429,48,108,23,4,7,160,35,3,8,11,6,54,23,0,10,11,0.252,0.301,0.373,0.674,100,0.121,0.270,17.5%,11.3%,4.8%,0.43,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kyoda Yota,93,287,251,31,57,4,0,1,64,9,3,2,9,0,33,25,1,2,6,0.227,0.302,0.255,0.557,68,0.028,0.258,20.6%,11.5%,8.7%,0.76,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Maeda Yamato,88,230,213,12,50,4,0,0,54,18,1,0,3,0,23,14,1,0,7,0.235,0.282,0.254,0.536,62,0.019,0.263,16.1%,10.0%,6.1%,0.61,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Maki Shugo,143,605,559,78,164,39,3,29,296,103,2,2,0,6,85,33,3,7,17,0.293,0.337,0.530,0.867,156,0.237,0.299,24.3%,14.0%,5.5%,0.39,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Miyagi Daita,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Miyaguni Ryosuke,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Miyazaki Toshiro,124,461,408,47,133,27,0,20,220,71,1,0,0,4,43,41,6,8,14,0.326,0.395,0.539,0.934,176,0.213,0.324,22.6%,9.3%,8.9%,0.95,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Mori Keito,9,14,12,0,2,0,0,0,2,1,1,0,1,0,1,1,0,0,0,0.167,0.231,0.167,0.398,22,0.000,0.182,14.3%,7.1%,7.1%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
