                 Pitcher   G  W  L  SV  HLD  CG  SHO   BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB% Age  T                Team League
106       Yamamoto Daiki  14  0  0   0    1   0    0   61  13.1  15   1   5   6    0   0   0  10   9   6.08   4.43   4.96  1.58   49  132    137    1.65   1.6%   8.2%   9.8%   -1.6%  29  L     Yakult Swallows     CL
107        Yamano Taichi   8  1  2   0    0   0    0  181  42.0  45   7  28  15    1   1   0  22  19   4.07   4.83   4.08  1.43   73  144    113   -0.76   3.9%  15.5%   8.3%    7.2%  26  L     Yakult Swallows     CL
108        Yasaki Takuya  13  0  0   0    3   0    0   50  12.2   9   0  12   4    0   0   1   5   5   3.55   1.91   3.20  1.03   84   57     89    1.64   0.0%  24.0%   8.0%   16.0%  30  R     Yakult Swallows     CL
109     Yoshimura Kojiro   8  2  3   0    0   0    0  184  42.0  47   4  33   9    1   1   0  23  18   3.86   3.23   3.50  1.33   77   96     97    0.63   2.2%  17.9%   4.9%   13.0%  27  R     Yakult Swallows     CL
110      Fujishima Kento  23  1  2   0    5   0    0   87  20.2  18   1  16   8    0   0   0  10  10   4.35   3.09   3.88  1.26   58  109    107    1.26   1.1%  18.4%   9.2%    9.2%  27  R    Chunichi Dragons     CL
111          Fuku Hiroto   5  0  0   0    0   0    0   25   6.0   3   0   3   4    0   0   0   0   0   0.00   3.85   5.20  1.17  999  135    144   -3.85   0.0%  12.0%  16.0%   -4.0%  33  L    Chunichi Dragons     CL
112       Hashimoto Yuki  16  0  0   0    4   0    0   70  17.1  10   1  15   7    2   1   0   1   1   0.52   3.26   3.66  0.98  487  114    101   -2.74   1.4%  21.4%  10.0%   11.4%  27  L    Chunichi Dragons     CL
113          Iwasaki Sho   4  1  0   0    0   0    0   22   4.1   9   1   3   0    0   0   0   1   1   2.08   4.47   3.44  2.08  122  157     95   -2.39   4.5%  13.6%   0.0%   13.6%  35  R    Chunichi Dragons     CL
114      Kanemaru Yumeto   4  0  2   0    0   0    0   92  24.0  16   2  26   4    0   1   0   8   7   2.63   2.39   2.41  0.83   96   84     67    0.24   2.2%  28.3%   4.3%   23.9%  22  L    Chunichi Dragons     CL
115     Katsuno Akiyoshi  16  2  2   0    4   0    0   74  17.2  16   0  21   6    0   1   3   8   7   3.57   1.66   2.77  1.25   71   58     77    1.91   0.0%  28.4%   8.1%   20.3%  28  R    Chunichi Dragons     CL
116            Kondo Ren   3  0  0   0    1   0    0   17   3.0   4   0   5   4    0   0   0   2   2   6.00   3.52   4.21  2.67   42  124    117    2.48   0.0%  29.4%  23.5%    5.9%  26  L    Chunichi Dragons     CL
