Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
Matsumoto Wataru,6,1,3,0,0,0,117,25.0,30,3,25,15,0,0,0,14,14,5.04,4.94,3.95,1.80,71,116,106,0.10,2.6%,21.4%,12.8%,8.5%,Seibu Lions,22,R,EL
Minamikawa Tadasuke,29,3,7,2,0,0,257,59.0,60,7,41,26,0,3,2,38,31,4.73,5.20,4.22,1.46,76,122,113,-0.47,2.7%,16.0%,10.1%,5.8%,Seibu Lions,27,R,EL
Moriwaki Ryosuke,15,0,1,3,0,0,109,23.0,29,3,28,11,0,0,1,16,12,4.70,4.27,3.24,1.74,76,101,87,0.43,2.8%,25.7%,10.1%,15.6%,Seibu Lions,26,R,EL
Nakatsuka Shunta,34,0,3,0,0,0,166,40.1,30,0,30,23,0,2,5,13,11,2.45,3.95,4.38,1.31,147,93,117,-1.50,0.0%,18.1%,13.9%,4.2%,Seibu Lions,24,R,EL
Neal Zach,8,2,3,0,0,0,181,42.2,47,4,24,7,0,3,2,25,18,3.80,4.37,3.86,1.27,95,103,103,-0.57,2.2%,13.3%,3.9%,9.4%,Seibu Lions,30,R,EL
Noda Shogo,27,1,3,0,0,0,106,23.2,19,3,18,12,1,1,1,14,11,4.18,5.35,4.23,1.31,86,126,113,-1.17,2.8%,17.0%,11.3%,5.7%,Seibu Lions,26,L,EL
Ogawa Ryuya,4,1,0,0,0,0,13,4.0,1,0,4,0,0,0,0,1,1,2.25,1.58,1.72,0.25,160,37,46,0.67,0.0%,30.8%,0.0%,30.8%,Seibu Lions,27,L,EL
Oishi Tatsuya,29,1,1,4,0,0,122,28.1,27,3,29,13,0,0,0,16,13,4.13,4.28,3.49,1.41,87,101,93,-0.15,2.5%,23.8%,10.7%,13.1%,Seibu Lions,30,R,EL
Okubo Jiyu,2,0,0,0,0,0,24,5.0,5,1,2,3,0,1,1,4,4,7.20,7.78,5.22,1.60,50,183,140,-0.58,4.2%,8.3%,12.5%,-4.2%,Seibu Lions,18,R,EL
Saito Hiromasa,20,1,3,0,0,0,136,30.2,27,5,26,15,0,2,4,16,13,3.82,5.66,3.99,1.37,94,133,107,-1.84,3.7%,19.1%,11.0%,8.1%,Seibu Lions,24,L,EL
Sano Yasuo,1,1,0,0,0,0,29,7.0,9,0,3,2,0,0,0,1,1,1.29,3.58,4.46,1.57,278,84,119,-2.29,0.0%,10.3%,6.9%,3.4%,Seibu Lions,26,L,EL
Taira Kaima,7,1,0,0,0,0,63,16.0,9,0,22,7,0,0,5,4,2,1.13,2.14,2.42,1.00,318,50,65,-1.01,0.0%,34.9%,11.1%,23.8%,Seibu Lions,19,R,EL
Takagi Hayato,19,6,3,0,0,0,338,80.2,78,7,52,23,0,5,4,35,27,3.01,4.46,3.94,1.25,119,105,106,-1.45,2.1%,15.4%,6.8%,8.6%,Seibu Lions,29,R,EL
Takekuma Shota,10,1,0,1,0,0,49,12.2,9,0,8,3,0,0,2,2,1,0.71,3.02,3.78,0.95,506,71,101,-2.31,0.0%,16.3%,6.1%,10.2%,Seibu Lions,29,L,EL
Tamura Ichiro,33,3,3,4,0,0,169,40.0,34,5,26,10,0,6,3,19,17,3.83,5.10,3.85,1.10,94,120,103,-1.27,3.0%,15.4%,5.9%,9.5%,Seibu Lions,24,R,EL
Tawata Shinsaburo,3,1,1,0,1,0,93,23.0,20,2,21,6,0,2,1,9,9,3.52,3.92,3.19,1.13,102,92,85,-0.40,2.2%,22.6%,6.5%,16.1%,Seibu Lions,26,R,EL
Togame Ken,4,1,2,0,0,0,59,13.0,18,2,8,5,0,0,1,11,9,6.23,5.50,4.29,1.77,58,129,115,0.73,3.4%,13.6%,8.5%,5.1%,Seibu Lions,31,R,EL
Tono Aoi,8,2,3,0,0,0,140,28.2,43,6,21,15,0,2,2,27,25,7.85,6.61,4.37,2.02,46,156,117,1.24,4.3%,15.0%,10.7%,4.3%,Seibu Lions,22,L,EL
Utsumi Tetsuya,7,0,2,0,0,0,98,20.0,33,5,10,5,0,1,0,22,21,9.45,6.73,4.29,1.90,38,158,115,2.72,5.1%,10.2%,5.1%,5.1%,Seibu Lions,37,L,EL
Watanabe Yutaro,2,0,0,0,0,0,23,3.2,10,1,0,2,0,0,0,8,6,14.73,8.76,5.67,3.27,24,206,152,5.97,4.3%,0.0%,8.7%,-8.7%,Seibu Lions,18,R,EL
Yoza Kaito,2,0,1,0,0,0,22,5.1,8,1,5,0,0,0,0,4,3,5.06,4.14,2.53,1.50,71,97,68,0.92,4.5%,22.7%,0.0%,22.7%,Seibu Lions,23,R,EL
Akiyoshi Ryo,1,0,0,0,0,0,3,1.0,0,0,3,0,0,0,0,0,0,0.00,-2.42,-5.20,0.00,999,-58,-139,2.42,0.0%,100.0%,0.0%,100.0%,Nipponham Fighters,30,R,EL
Barbato Johnny,18,1,3,0,0,0,151,34.1,44,3,27,11,0,3,2,24,21,5.50,4.36,3.74,1.60,65,104,100,1.14,2.0%,17.9%,7.3%,10.6%,Nipponham Fighters,26,R,EL
Fujioka Takahiro,17,2,2,1,0,0,104,25.1,23,2,28,8,1,1,3,11,11,3.91,3.46,2.88,1.22,91,82,77,0.45,1.9%,26.9%,7.7%,19.2%,Nipponham Fighters,29,L,EL
Fukuda Suguru,51,2,4,5,0,0,319,68.0,72,4,79,41,0,4,14,48,37,4.90,4.00,3.61,1.66,73,95,97,0.90,1.3%,24.8%,12.9%,11.9%,Nipponham Fighters,22,L,EL
Hancock Justin,2,0,1,0,0,0,13,2.0,5,0,0,0,0,1,0,4,3,13.50,5.08,4.80,2.50,26,121,129,8.42,0.0%,0.0%,0.0%,0.0%,Nipponham Fighters,28,R,EL
Hori Mizuki,7,0,0,0,0,0,32,8.2,4,1,10,3,0,0,0,2,2,2.08,3.81,2.61,0.81,171,90,70,-1.73,3.1%,31.2%,9.4%,21.9%,Nipponham Fighters,21,L,EL
Iguchi Kazutomo,25,1,2,4,0,0,129,32.0,24,5,37,7,0,1,1,13,13,3.66,4.04,2.47,0.97,97,96,66,-0.38,3.9%,28.7%,5.4%,23.3%,Nipponham Fighters,25,R,EL
Ishikawa Naoya,8,0,0,0,0,0,30,8.0,5,0,10,1,0,0,1,1,1,1.13,1.45,1.80,0.75,315,34,48,-0.32,0.0%,33.3%,3.3%,30.0%,Nipponham Fighters,22,R,EL
Kagiya Yohei,8,0,0,0,0,0,38,10.0,3,0,23,5,0,0,0,0,0,0.00,0.48,0.06,0.80,999,11,2,-0.48,0.0%,60.5%,13.2%,47.4%,Nipponham Fighters,28,R,EL
Kakigi Ren,26,2,4,0,0,0,216,43.2,58,9,25,30,0,1,1,43,40,8.24,7.24,5.03,2.02,43,172,135,1.00,4.2%,11.6%,13.9%,-2.3%,Nipponham Fighters,19,R,EL
Kato Takayuki,2,0,1,0,0,0,35,8.0,10,1,6,1,0,0,0,4,3,3.38,4.08,3.37,1.38,105,97,90,-0.70,2.9%,17.1%,2.9%,14.3%,Nipponham Fighters,,,EL
Kitaura Ryuji,19,3,5,0,0,0,366,88.0,84,9,57,28,0,6,3,37,33,3.38,4.77,4.01,1.27,105,113,107,-1.39,2.5%,15.6%,7.7%,7.9%,Nipponham Fighters,19,L,EL
Kumon Katsuhiko,5,1,0,0,0,0,28,6.0,8,1,5,2,0,0,2,7,4,6.00,5.08,3.73,1.67,59,121,100,0.92,3.6%,17.9%,7.1%,10.7%,Nipponham Fighters,27,L,EL
Martinez Nick,2,0,0,0,0,0,16,4.0,3,1,5,1,0,0,0,3,2,4.50,5.08,2.30,1.00,79,121,62,-0.58,6.2%,31.2%,6.2%,25.0%,Nipponham Fighters,28,R,EL
Miyadai Kohei,17,4,3,1,0,0,278,62.2,66,8,49,30,0,1,4,33,32,4.60,5.16,4.12,1.53,77,123,110,-0.56,2.9%,17.6%,10.8%,6.8%,Nipponham Fighters,23,L,EL
Murata Toru,7,0,2,0,0,0,69,18.0,15,2,10,3,0,0,0,7,6,3.00,4.41,3.79,1.00,119,105,101,-1.41,2.9%,14.5%,4.3%,10.1%,Nipponham Fighters,34,R,EL
Nabatame Tsubasa,20,4,4,0,0,0,287,65.0,66,7,44,29,0,1,3,36,28,3.88,5.01,4.28,1.46,92,119,115,-1.13,2.4%,15.3%,10.1%,5.2%,Nipponham Fighters,24,R,EL
Nakamura Masaru,18,0,6,0,0,0,354,78.0,82,12,52,42,0,4,8,43,41,4.73,6.01,4.52,1.59,75,143,121,-1.28,3.4%,14.7%,11.9%,2.8%,Nipponham Fighters,27,R,EL
Nishimura Takahiro,12,1,0,0,0,0,67,19.1,7,0,21,3,0,0,2,0,0,0.00,1.87,2.11,0.52,999,44,57,-1.87,0.0%,31.3%,4.5%,26.9%,Nipponham Fighters,26,R,EL
Rodriguez Bryan,2,0,0,0,0,0,24,7.0,5,0,5,2,0,0,0,2,2,2.57,3.00,3.55,1.00,138,71,95,-0.43,0.0%,20.8%,8.3%,12.5%,Nipponham Fighters,27,R,EL
Saito Yuki,18,4,2,0,0,0,170,38.2,40,6,29,15,0,0,3,18,15,3.49,5.26,3.98,1.42,102,125,107,-1.77,3.5%,17.1%,8.8%,8.2%,Nipponham Fighters,31,R,EL
Sugiura Toshihiro,6,0,3,0,0,0,62,12.1,18,0,15,6,0,0,3,12,10,7.30,2.60,3.35,1.95,49,62,90,4.70,0.0%,24.2%,9.7%,14.5%,Nipponham Fighters,27,R,EL
Suzuki Ryotaro,27,4,4,2,0,0,233,54.1,59,5,37,15,1,1,6,24,23,3.81,4.29,3.86,1.36,93,102,103,-0.48,2.1%,15.9%,6.4%,9.4%,Nipponham Fighters,23,R,EL
Takayama Yuki,30,2,2,0,0,0,157,31.2,37,4,23,24,0,4,3,25,22,6.25,6.42,4.86,1.93,57,153,130,-0.17,2.5%,14.6%,15.3%,-0.6%,Nipponham Fighters,21,L,EL
Tamai Taisho,1,0,0,0,0,0,3,1.0,0,0,2,0,0,0,0,0,0,0.00,-0.42,-1.87,0.00,999,-10,-50,0.42,0.0%,66.7%,0.0%,66.7%,Nipponham Fighters,27,R,EL
Tanaka Eito,18,0,11,0,1,0,394,84.2,102,14,52,39,0,4,12,59,55,5.85,6.02,4.47,1.67,61,143,120,-0.17,3.6%,13.2%,9.9%,3.3%,Nipponham Fighters,19,R,EL
Tanaka Toyoki,31,4,3,2,0,0,148,31.1,38,3,20,12,1,4,5,21,16,4.60,5.08,4.26,1.60,77,121,114,-0.48,2.0%,13.5%,8.1%,5.4%,Nipponham Fighters,25,R,EL
Tatsuta Shota,53,4,3,1,0,0,293,67.2,59,10,64,39,2,0,8,34,30,3.99,5.33,3.95,1.45,89,127,106,-1.34,3.4%,21.8%,13.3%,8.5%,Nipponham Fighters,23,R,EL
Uehara Kenta,11,2,1,0,0,0,203,46.0,53,4,31,19,0,1,4,26,19,3.72,4.66,4.21,1.57,96,111,113,-0.94,2.0%,15.3%,9.4%,5.9%,Nipponham Fighters,25,L,EL
Urano Hiroshi,15,1,2,5,0,0,90,17.2,25,7,20,5,0,1,0,19,13,6.62,7.48,3.13,1.70,54,178,84,-0.86,7.8%,22.2%,5.6%,16.7%,Nipponham Fighters,29,R,EL
Yoshida Kosei,18,2,6,0,0,0,271,62.0,63,8,53,27,0,3,2,30,30,4.35,5.00,3.84,1.45,82,119,103,-0.65,3.0%,19.6%,10.0%,9.6%,Nipponham Fighters,18,R,EL
Yoshida Yuki,20,4,3,1,0,0,338,80.0,79,6,66,21,0,4,7,35,29,3.26,3.84,3.47,1.25,109,91,93,-0.58,1.8%,19.5%,6.2%,13.3%,Nipponham Fighters,25,R,EL
Yoshikawa Mitsuo,7,0,1,0,0,0,73,17.0,15,2,17,8,0,0,1,9,9,4.76,4.52,3.57,1.35,75,107,96,0.24,2.7%,23.3%,11.0%,12.3%,Nipponham Fighters,31,L,EL
